'REGENCY CAKESTAND 3 TIER','ROSES REGENCY TEACUP AND SAUCER ','GREEN REGENCY TEACUP AND SAUCER','PINK REGENCY TEACUP AND SAUCER'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,'?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,TRUE,'?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,'?','?','?'
TRUE,'?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,TRUE,TRUE,'?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,'?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,'?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,'?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,'?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
'?','?','?','?'
TRUE,TRUE,TRUE,'?'
