@relation classification_train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Attribute_1 numeric
@attribute Attribute_2 numeric
@attribute Attribute_3 numeric
@attribute Attribute_4 numeric
@attribute Attribute_5 numeric
@attribute Attribute_6 numeric
@attribute Attribute_7 numeric
@attribute Attribute_8 numeric
@attribute Attribute_9 numeric
@attribute Attribute_10 numeric
@attribute Attribute_11 numeric
@attribute Attribute_12 numeric
@attribute Attribute_13 numeric
@attribute Attribute_14 numeric
@attribute Class {0,1,2,3,4}

@data
0.862261,0.936912,0.9989,0.00664,0.002264,0.667831,257.905941,222.382322,0.787147,0.991626,191.962777,1.343521,0.743495,39169,4
0.703623,0.815109,0.988145,0.006715,0.001015,0.865433,382.995112,269.484255,0.611021,0.987226,191.890158,1.995908,0.495086,57775,1
0.891155,0.965225,0.998161,0.006696,0.002605,0.605795,239.435321,213.374084,0.745891,0.991928,190.49975,1.25688,0.794158,36049,4
0.679816,0.789174,0.994831,0.007486,0.000986,0.885546,368.010841,250.179755,0.6232,0.982944,170.960013,2.152614,0.46215,50011,1
0.810824,0.867229,0.995028,0.005198,0.001386,0.750632,372.571133,302.089674,0.674572,0.987871,246.165603,1.513498,0.657436,72554,3
0.832862,0.905838,0.993496,0.00646,0.001917,0.715902,284.16051,236.666603,0.830614,0.988784,198.401177,1.432252,0.69366,44490,0
0.91047,0.971237,0.999353,0.006324,0.00268,0.558518,242.894288,221.147924,0.766274,0.992353,201.478931,1.205557,0.828955,38707,4
0.823772,0.794581,0.995871,0.005112,0.001452,0.731898,367.029794,302.348771,0.695357,0.983211,250.099147,1.467537,0.6786,73023,3
0.761002,0.843457,0.984634,0.005363,0.001109,0.808744,409.978347,311.994289,0.753004,0.97925,241.133431,1.700214,0.579124,78071,2
0.696245,0.807675,0.995331,0.007035,0.00102,0.873385,373.347706,259.941435,0.597005,0.987496,181.831905,2.053257,0.484757,53741,1
0.747534,0.865837,0.996151,0.006867,0.001323,0.827839,331.801617,248.033039,0.68653,0.990468,186.129574,1.782638,0.558807,48783,0
0.792104,0.882585,0.995573,0.006439,0.001564,0.776417,315.16351,249.642256,0.785893,0.988649,198.622003,1.58675,0.627429,49509,0
0.746468,0.802308,0.971455,0.005761,0.001103,0.819144,396.601742,296.050655,0.656641,0.963739,227.485996,1.743412,0.557215,71427,2
0.795321,0.879941,0.991965,0.006799,0.001678,0.770318,296.074825,235.474646,0.800283,0.981452,188.795076,1.568234,0.632536,44372,0
0.693465,0.796054,0.99501,0.006438,0.000918,0.875452,411.263404,285.196579,0.754705,0.987922,198.765453,2.069089,0.480893,64663,1
0.780419,0.881176,0.992993,0.00534,0.001222,0.78981,391.463443,305.505403,0.817924,0.990809,240.10467,1.630387,0.609053,73984,2
0.800981,0.871892,0.996576,0.006737,0.001711,0.765215,294.566081,235.941898,0.694088,0.987354,189.634291,1.553338,0.641571,44282,0
0.788355,0.881304,0.992569,0.005528,0.001317,0.779698,370.570883,292.141267,0.741625,0.986562,232.035128,1.597046,0.621503,67944,2
0.663387,0.780252,0.99803,0.006856,0.000819,0.897531,421.996572,279.94721,0.737768,0.990793,186.080097,2.267822,0.440083,62124,1
0.817319,0.86446,0.985604,0.005743,0.001581,0.735275,331.875011,271.247895,0.758944,0.976181,224.934436,1.47543,0.668011,59196,2
0.69648,0.780422,0.987983,0.008215,0.001192,0.871168,319.499996,222.525412,0.650025,0.980833,156.869619,2.036723,0.485085,39651,1
0.753581,0.854253,0.992665,0.005548,0.001104,0.820197,404.144668,304.555787,0.679815,0.988118,231.203279,1.748006,0.567884,73725,2
0.760916,0.835129,0.988647,0.005346,0.001106,0.81057,411.331329,312.988462,0.751636,0.981803,240.892573,1.70753,0.578993,78365,2
0.883515,0.954748,0.99703,0.005959,0.00224,0.622117,273.71507,241.831426,0.776088,0.991923,214.298246,1.277262,0.780599,46306,4
0.707211,0.811134,0.994748,0.007067,0.00109,0.864409,360.247884,254.771425,0.681993,0.986398,181.128477,1.988908,0.500148,51682,1
0.77237,0.883263,0.997723,0.006436,0.001413,0.801558,331.624964,256.1371,0.720577,0.989857,198.284069,1.672474,0.596555,52055,0
0.774978,0.844128,0.997565,0.005214,0.00116,0.798453,406.629636,315.12905,0.789423,0.990513,244.814306,1.660972,0.600591,78742,2
0.861355,0.948254,0.998359,0.006444,0.002188,0.669124,266.327647,229.402565,0.750073,0.991817,197.921669,1.345621,0.741932,41673,4
0.704148,0.810033,0.990193,0.007891,0.001197,0.8656,325.412648,229.138777,0.637554,0.983848,162.945724,1.997062,0.495825,41914,1
0.684582,0.782924,0.993513,0.006461,0.000875,0.881752,420.52303,287.882676,0.596028,0.987814,198.366211,2.119933,0.468653,65894,1
0.786948,0.883309,0.998933,0.006624,0.001567,0.784642,310.391674,244.262165,0.774814,0.990802,192.426897,1.613037,0.619287,47295,0
0.811034,0.897209,0.997636,0.007132,0.001903,0.751849,271.425266,220.135179,0.719593,0.987443,178.960215,1.516679,0.657777,38544,0
0.807189,0.899275,0.996145,0.006458,0.001691,0.756429,302.595376,244.251739,0.7269,0.989107,197.920303,1.528875,0.651555,47372,0
0.915888,0.946107,0.998494,0.006226,0.002703,0.542406,243.775222,223.270855,0.78745,0.989561,204.799608,1.190311,0.838851,39565,4
0.693764,0.810598,0.995603,0.007073,0.001011,0.875381,374.018468,259.480597,0.811606,0.990912,180.813356,2.068533,0.481309,53366,1
