@relation classification_train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Attribute_1 numeric
@attribute Attribute_2 numeric
@attribute Attribute_3 numeric
@attribute Attribute_4 numeric
@attribute Attribute_5 numeric
@attribute Attribute_6 numeric
@attribute Attribute_7 numeric
@attribute Attribute_8 numeric
@attribute Attribute_9 numeric
@attribute Attribute_10 numeric
@attribute Attribute_11 numeric
@attribute Attribute_12 numeric
@attribute Attribute_13 numeric
@attribute Attribute_14 numeric
@attribute Class {0,1,2,3,4}

@data
0.69546,0.857422,0.979687,0.558941,0.530686,0.520845,0.208126,0.185949,0.789492,0.944421,0.281873,0.199399,0.655819,0.137237,4
0.168042,0.496027,0.697425,0.577672,0.079783,0.922805,0.661833,0.467488,0.118252,0.84989,0.281345,0.727847,0.141876,0.392656,1
0.791523,0.941428,0.960292,0.572927,0.653791,0.394653,0.141131,0.132105,0.63226,0.950909,0.271222,0.129218,0.760638,0.094406,4
0.088892,0.419077,0.872897,0.77023,0.069314,0.963718,0.607484,0.352101,0.164668,0.757895,0.128966,0.854782,0.073733,0.286073,1
0.52445,0.650669,0.878067,0.198801,0.213718,0.689278,0.624024,0.662378,0.360453,0.863748,0.67649,0.337084,0.477768,0.595538,3
0.597719,0.765224,0.837861,0.513986,0.405415,0.618631,0.303353,0.271329,0.955151,0.883363,0.328747,0.271273,0.552714,0.210282,0
0.855739,0.959265,0.991575,0.48002,0.680866,0.298482,0.153677,0.178571,0.709942,0.96004,0.351154,0.087645,0.832631,0.130894,4
0.567497,0.43512,0.900192,0.177323,0.237545,0.65117,0.603926,0.663927,0.439668,0.763632,0.705127,0.299855,0.521555,0.601977,3
0.358808,0.580137,0.60528,0.24001,0.113718,0.807489,0.759703,0.72158,0.659368,0.678533,0.639854,0.488328,0.315745,0.671275,2
0.143513,0.47397,0.886019,0.657592,0.081588,0.938981,0.626841,0.410449,0.064835,0.855691,0.208117,0.774301,0.120505,0.337278,1
0.314031,0.646539,0.90754,0.615634,0.190975,0.846331,0.476151,0.339269,0.406027,0.919542,0.239405,0.555094,0.273711,0.269215,0
0.462212,0.696231,0.892371,0.508741,0.277978,0.74173,0.415803,0.348888,0.784713,0.880462,0.330355,0.39642,0.415685,0.279182,0
0.310487,0.458046,0.259402,0.339411,0.111552,0.828644,0.711185,0.626282,0.292116,0.345293,0.540495,0.52332,0.270417,0.580067,2
0.472907,0.688386,0.79768,0.598651,0.319134,0.729323,0.346567,0.264205,0.839555,0.725841,0.258811,0.381422,0.426252,0.208662,0
0.13427,0.43949,0.877595,0.508492,0.044765,0.943185,0.764364,0.561404,0.665851,0.864843,0.331399,0.787125,0.112511,0.487213,1
0.423363,0.692051,0.824659,0.234266,0.154513,0.768973,0.692548,0.682795,0.906787,0.926868,0.632364,0.431767,0.377667,0.615169,2
0.491725,0.664505,0.918694,0.583167,0.331047,0.718943,0.341095,0.266998,0.434831,0.85264,0.264921,0.369356,0.444944,0.207427,0
0.449748,0.69243,0.813532,0.281219,0.188809,0.748404,0.616769,0.602914,0.616001,0.835625,0.573615,0.40476,0.403425,0.532253,2
0.034271,0.392605,0.956854,0.612887,0.009025,0.988098,0.803294,0.530028,0.601302,0.926524,0.239045,0.948103,0.028078,0.452358,1
0.546043,0.642454,0.630738,0.334915,0.284116,0.658039,0.476417,0.47803,0.682006,0.612598,0.521919,0.306248,0.499647,0.412163,2
0.144294,0.393109,0.693174,0.952298,0.143682,0.934471,0.431532,0.186804,0.266901,0.712542,0.026382,0.760908,0.121184,0.143853,1
0.334136,0.612169,0.816051,0.286214,0.111913,0.830786,0.738544,0.677119,0.380435,0.869054,0.567558,0.527041,0.29249,0.611614,2
0.358522,0.555427,0.7106,0.235764,0.112635,0.811203,0.764611,0.727523,0.654155,0.733382,0.6381,0.494255,0.315474,0.675311,2
0.766123,0.910342,0.930609,0.388861,0.522022,0.427855,0.265466,0.302201,0.747345,0.950801,0.444484,0.145728,0.732585,0.235212,4
0.179971,0.484233,0.870719,0.665584,0.106859,0.920722,0.579327,0.379546,0.388736,0.832102,0.202996,0.722177,0.152349,0.309012,1
0.396603,0.698243,0.948797,0.507992,0.223466,0.792871,0.47551,0.387709,0.535785,0.906415,0.327895,0.465858,0.351809,0.314133,0
0.405274,0.582128,0.94465,0.202797,0.13213,0.786555,0.747557,0.740318,0.798166,0.920509,0.666652,0.456541,0.360159,0.680486,2
0.692448,0.891074,0.965488,0.50999,0.503249,0.523476,0.238672,0.227911,0.648198,0.948524,0.325256,0.2011,0.652585,0.171611,4
0.169787,0.480966,0.751174,0.871379,0.145487,0.923144,0.452977,0.226334,0.219373,0.777317,0.070619,0.728782,0.143405,0.174919,1
0.104737,0.400533,0.838307,0.514236,0.029242,0.956001,0.797949,0.57746,0.061112,0.862523,0.328493,0.82831,0.087187,0.504111,1
0.44507,0.698379,0.980553,0.554945,0.279061,0.758461,0.398495,0.31673,0.742489,0.926718,0.285252,0.417713,0.39884,0.248789,0
0.525148,0.739621,0.946513,0.681818,0.400361,0.691754,0.257161,0.172517,0.532034,0.854552,0.18721,0.339661,0.478474,0.128657,0
0.512364,0.745751,0.907383,0.513487,0.323827,0.70107,0.370217,0.316668,0.559882,0.890302,0.325246,0.34954,0.465601,0.249846,0
0.873752,0.884704,0.969031,0.455544,0.68917,0.265707,0.156872,0.19126,0.790647,0.900056,0.37533,0.075296,0.853105,0.142673,4
0.135264,0.482643,0.893158,0.667083,0.078339,0.943041,0.629274,0.407694,0.882708,0.929081,0.200701,0.786675,0.113372,0.33213,1
0.365148,0.582341,0.942787,0.216783,0.11083,0.814352,0.778228,0.749545,0.629253,0.85365,0.647615,0.499347,0.32176,0.694543,3
0.340699,0.604119,0.824318,0.657093,0.223827,0.826773,0.422964,0.288954,0.866839,0.907855,0.211689,0.520097,0.298656,0.224875,0
0.553414,0.786584,0.908354,0.505495,0.358845,0.664675,0.342703,0.301839,0.710918,0.891484,0.332374,0.31255,0.507153,0.236667,0
0.182687,0.442092,0.74981,0.523227,0.076895,0.916556,0.690694,0.511246,0.23036,0.877992,0.325368,0.71102,0.154738,0.435225,1
0.140042,0.403159,0.846101,0.642857,0.076173,0.939792,0.642364,0.425903,0.051496,0.809887,0.221324,0.77675,0.117501,0.353655,1
0.508491,0.74047,0.808204,0.626623,0.362816,0.700021,0.30128,0.222992,0.765832,0.810145,0.235972,0.348411,0.461711,0.171227,0
0.439591,0.444169,0.855943,0.296953,0.187004,0.757891,0.611986,0.589958,0.543559,0.72554,0.55187,0.416965,0.39348,0.523262,3
0.487193,0.705052,0.887489,0.495504,0.294585,0.721371,0.403776,0.347195,0.846038,0.868302,0.342689,0.372142,0.44043,0.278029,0
0.529217,0.747048,0.895992,0.604895,0.374729,0.685895,0.29846,0.229784,0.521836,0.796094,0.248598,0.3336,0.482583,0.177308,0
0.71986,0.827941,0.948613,0.31044,0.43213,0.489315,0.354435,0.406931,0.635743,0.891419,0.530037,0.17984,0.682113,0.332706,4
0.616859,0.434422,0.939978,0.257742,0.311913,0.604762,0.480998,0.526612,0.793059,0.724659,0.594498,0.259883,0.572621,0.457011,3
0.569449,0.440947,0.828596,0.172328,0.237184,0.645759,0.607214,0.669682,0.49589,0.720255,0.717248,0.29491,0.523558,0.610447,3
0.866335,0.948854,0.990473,0.413836,0.65343,0.280598,0.185728,0.231456,0.757356,0.946376,0.415244,0.080803,0.844662,0.174631,4
0.265092,0.578579,0.824633,0.531219,0.132491,0.873404,0.589779,0.447297,0.863992,0.94543,0.314049,0.608925,0.228626,0.369428,1
0.389747,0.702213,0.870588,0.273976,0.144404,0.795003,0.68789,0.653223,0.926998,0.955786,0.578787,0.469054,0.345228,0.581207,2
0.375917,0.551552,0.925203,0.208541,0.115162,0.806465,0.775106,0.753638,0.395893,0.853199,0.660121,0.486713,0.332003,0.699307,3
0.556453,0.628058,0.933312,0.268482,0.266065,0.663074,0.525271,0.550294,0.889809,0.849847,0.581607,0.311019,0.510257,0.476299,3
0.49089,0.760524,0.960161,0.593157,0.333574,0.721373,0.335547,0.259235,0.764853,0.885554,0.254718,0.372142,0.444111,0.199822,0
0.523835,0.768571,0.798389,0.553197,0.349819,0.686192,0.334793,0.275584,0.825633,0.83223,0.29657,0.333903,0.477145,0.215444,0
0.64955,0.834424,0.931108,0.423576,0.416968,0.569788,0.324678,0.327625,0.586869,0.953143,0.408891,0.233029,0.606943,0.257698,4
0.499584,0.519485,0.841981,0.46978,0.296029,0.709095,0.411582,0.364476,0.513756,0.817535,0.369059,0.358292,0.452792,0.295518,3
0.620862,0.849265,0.961788,0.557193,0.448014,0.601845,0.259859,0.222959,0.764159,0.920509,0.284362,0.257543,0.576804,0.168234,4
0.40424,0.634567,0.814398,0.514735,0.231769,0.78267,0.463312,0.376691,0.694781,0.869763,0.329183,0.450924,0.359162,0.3051,0
0.986229,0.950335,0.94402,0.457043,0.842238,0.031217,0.094286,0.142601,0.613158,0.950801,0.375456,0.006972,0.983686,0.102588,4
0.878311,0.95186,0.983256,0.524226,0.738267,0.25919,0.117018,0.133014,0.705658,0.95469,0.311614,0.072938,0.858306,0.095024,4
0.456241,0.67434,0.8213,0.593656,0.302166,0.743617,0.363384,0.277234,0.852273,0.905728,0.26154,0.398759,0.409803,0.214744,0
0.190853,0.439986,0.630055,0.744755,0.132491,0.909479,0.511743,0.307462,0.40105,0.777575,0.158131,0.692655,0.161946,0.245096,1
0.263467,0.32223,0.79356,0.282967,0.06787,0.873502,0.828417,0.734234,0.595631,0.750312,0.572862,0.609132,0.227147,0.682174,3
0.275834,0.578757,0.923654,0.311439,0.082671,0.869841,0.781696,0.687099,0.916685,0.923194,0.530604,0.601442,0.238445,0.620139,2
0.482934,0.673922,0.918904,0.629371,0.33935,0.726172,0.319527,0.233968,0.610742,0.834615,0.228126,0.377713,0.436195,0.179779,0
0.226443,0.406084,0.874761,0.482517,0.094946,0.896433,0.674545,0.522808,0.287508,0.782366,0.35534,0.660573,0.193655,0.450779,1
0.461667,0.615626,0.847938,0.582418,0.303249,0.740391,0.366094,0.283704,0.491526,0.832703,0.269253,0.394768,0.415145,0.2225,0
0.173016,0.495285,0.923103,0.283467,0.018051,0.925396,0.950131,0.805915,0.459089,0.979461,0.563843,0.735004,0.146235,0.753888,2
0.283348,0.479364,0.634911,0.384615,0.106498,0.857245,0.698412,0.591388,0.545514,0.459911,0.466775,0.575985,0.245339,0.536591,2
0.916863,0.941834,0.961447,0.358891,0.681227,0.185422,0.189445,0.260013,0.779004,0.964229,0.474801,0.048293,0.902594,0.19827,4
0.169289,0.520716,0.892791,0.652098,0.097112,0.926576,0.601402,0.398236,0.733758,0.905728,0.211992,0.738294,0.142966,0.324017,1
0.943657,0.880404,0.970816,0.555195,0.850181,0.132029,0.066835,0.082879,0.754353,0.88521,0.285595,0.032569,0.933705,0.058357,4
0.522079,0.673557,0.828412,0.621878,0.374368,0.689107,0.293706,0.219809,0.856031,0.903085,0.23861,0.336908,0.475376,0.166079,0
0.385555,0.648447,0.794767,0.603397,0.244404,0.795334,0.417982,0.308215,0.361589,0.902591,0.255115,0.469552,0.341212,0.241966,0
0.510742,0.542823,0.917303,0.135365,0.179783,0.702895,0.707951,0.764768,0.840954,0.798092,0.765656,0.351511,0.463968,0.715149,3
0.762719,0.877764,0.996982,0.508492,0.583032,0.437501,0.193773,0.196261,0.734177,0.9172,0.324807,0.150763,0.728842,0.146311,4
0.52298,0.702062,0.773771,0.458791,0.312635,0.68582,0.399748,0.361879,0.507098,0.915438,0.383407,0.333521,0.476285,0.289931,0
0.368164,0.589347,0.79621,0.218282,0.113357,0.807468,0.773018,0.745238,0.439767,0.907317,0.655612,0.488298,0.324623,0.686814,2
0.426628,0.698403,0.859145,0.57992,0.27148,0.767816,0.397548,0.305219,0.593154,0.875714,0.270831,0.430192,0.380842,0.240126,0
0.194742,0.5,0.744088,0.71004,0.127076,0.910164,0.531267,0.33275,0.362233,0.761397,0.176773,0.694405,0.165391,0.268309,1
0.005073,0.224472,0.873684,0.674825,0.003971,0.998175,0.789646,0.493152,0.02276,0.745392,0.195815,0.991736,0.00413,0.422184,1
0.097449,0.466811,0.8445,0.749251,0.070758,0.959392,0.612449,0.363344,0.782338,0.89939,0.144441,0.839774,0.080985,0.291798,1
0.226726,0.568503,0.911556,0.858641,0.185921,0.897196,0.40494,0.202546,0.185526,0.861578,0.071042,0.66239,0.193909,0.1529,1
0.462142,0.636066,0.790541,0.635115,0.322022,0.737702,0.332603,0.240246,0.446966,0.700404,0.230281,0.39148,0.415615,0.188812,0
0.194706,0.392106,0.912579,0.836164,0.155957,0.914161,0.44928,0.236575,0.197402,0.829201,0.084753,0.704727,0.165356,0.182126,1
0.746401,0.886347,0.833032,0.415335,0.51444,0.447039,0.261381,0.286586,0.788368,0.963026,0.423005,0.155853,0.710969,0.221196,4
0.421249,0.559851,0.938981,0.252248,0.158845,0.774748,0.676043,0.660097,0.711996,0.845808,0.601695,0.439725,0.375616,0.593864,3
0.378437,0.588634,0.89985,0.505245,0.208303,0.803882,0.494858,0.401331,0.797278,0.867722,0.333144,0.482663,0.334407,0.328231,2
0.122059,0.490497,0.863869,0.458042,0.027798,0.948602,0.829041,0.625896,0.842265,0.961952,0.378977,0.80413,0.102001,0.551294,1
0.128375,0.475095,0.951185,0.659091,0.072202,0.947451,0.643566,0.419353,0.093297,0.902913,0.203706,0.800471,0.107432,0.3441,1
0.670506,0.871842,0.975907,0.40035,0.427076,0.549308,0.325285,0.339407,0.729874,0.93529,0.429874,0.218436,0.629153,0.268845,4
0.170323,0.440873,0.897488,0.587912,0.083394,0.926165,0.650652,0.456081,0.270156,0.895265,0.262175,0.737146,0.143874,0.379793,1
0.843824,0.871183,0.953757,0.596903,0.736462,0.314418,0.099423,0.092285,0.609271,0.910733,0.251979,0.093959,0.819158,0.064864,4
0.522538,0.309059,0.931921,0.286713,0.246209,0.693373,0.540064,0.548991,0.588272,0.664805,0.559304,0.341356,0.47584,0.482655,3
0.740447,0.861961,0.988636,0.44031,0.520939,0.466136,0.249249,0.266159,0.719199,0.935612,0.388947,0.166392,0.704474,0.204338,4
0.821475,0.850526,0.976144,0.510739,0.655957,0.351605,0.156764,0.168189,0.76805,0.892751,0.324007,0.109545,0.794027,0.124236,4
0.70338,0.836655,0.974753,0.615884,0.568231,0.511128,0.172081,0.13826,0.670581,0.916899,0.235709,0.193208,0.664327,0.099993,4
0.675685,0.872328,0.984752,0.462038,0.462094,0.544005,0.279969,0.278162,0.634787,0.924977,0.368231,0.214783,0.634668,0.214991,4
