@relation classification_train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Standardize

@attribute Attribute_1 numeric
@attribute Attribute_2 numeric
@attribute Attribute_3 numeric
@attribute Attribute_4 numeric
@attribute Attribute_5 numeric
@attribute Attribute_6 numeric
@attribute Attribute_7 numeric
@attribute Attribute_8 numeric
@attribute Attribute_9 numeric
@attribute Attribute_10 numeric
@attribute Attribute_11 numeric
@attribute Attribute_12 numeric
@attribute Attribute_13 numeric
@attribute Attribute_14 numeric
@attribute Class {0,1,2,3,4}

@data
0.973208,1.185454,0.930294,0.442953,1.117002,-0.82296,-1.167129,-1.036599,0.781562,0.951323,-0.540434,-0.967357,0.959844,-0.997107,4
-1.319567,-0.788823,-1.520463,0.545263,-1.036353,1.075917,0.873204,0.310695,-2.51949,0.037423,-0.543323,1.405169,-1.272522,0.235497,1
1.390809,1.644373,0.761897,0.519344,1.704907,-1.419101,-1.468404,-1.294268,0.008319,1.01405,-0.598632,-1.282443,1.415136,-1.203799,4
-1.663646,-1.209198,0.003085,1.597012,-1.086351,1.269195,0.628795,-0.241487,-2.291224,-0.851968,-1.375897,1.975059,-1.568507,-0.27885,1
0.229795,0.055978,0.047976,-1.524131,-0.396726,-0.027275,0.703178,1.243333,-1.328381,0.171392,1.615683,-0.349204,0.186462,1.214571,3
0.548308,0.681782,-0.301123,0.197408,0.518752,-0.361017,-0.73889,-0.628014,1.596245,0.361027,-0.284323,-0.64467,0.511994,-0.644603,0
1.669966,1.74182,1.03352,0.011886,1.834212,-1.873415,-1.411985,-1.071907,0.390349,1.102324,-0.161894,-1.469088,1.727844,-1.027713,4
0.416931,-1.121557,0.240072,-1.641447,-0.282938,-0.207301,0.612793,1.250745,-0.938817,-0.796511,1.772155,-0.51635,0.376655,1.245641,3
-0.490276,-0.329337,-2.32052,-1.299049,-0.874291,0.531158,1.313328,1.526643,0.141635,-1.619229,1.41551,0.329823,-0.517302,1.580059,2
-1.4262,-0.909319,0.117021,0.981786,-1.027733,1.152333,0.715845,0.037734,-2.782186,0.093503,-0.943427,1.613729,-1.365346,-0.031746,1
